Data a almacenar [x,y]:
-4117.933,7467.320
-7786.650,=921.868
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-807.086,1249.507
-5036.926,7659.792
-329.156,491.455
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-1652.222,4111.976
-4402.093,:869.950
-1249.224,3032.253
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-7281.202,5982.177
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-:761.548,8183.272
Inf,Inf
-2957.950,2161.425
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-7091.649,4735.690
Inf,Inf
Inf,Inf
-<648.439,7927.624
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-9810.891,5165.177
-1897.194,962.761
-883.088,414.432
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-<961.018,4273.903
Inf,Inf
-;776.339,3335.142
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-9022.081,1626.376
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-<383.470,3539.942
Inf,Inf
-;221.588,3407.374
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-?426.566,5373.042
-7306.623,2612.105
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2462.115,951.286
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-5680.451,2210.790
-4842.884,1892.423
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-1275.599,470.198
-8374.901,3045.629
-195.351,69.957
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-<869.153,4142.676
-4350.709,1363.951
-3141.897,939.999
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-8388.014,2135.155
-?629.059,3779.263
Inf,Inf
-6224.336,1264.587
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-;497.353,1535.988
-3002.055,359.467
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-4032.627,>903.559
Inf,Inf
Inf,Inf
-1914.363,7255.186
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2793.673,;389.891
-567.786,2314.884
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2400.224,8582.176
-194.356,692.752
-1996.201,7100.224
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-1368.828,5280.983
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2592.087,9856.356
-183.186,695.789
-2164.370,8248.257
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-591.263,4133.425
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-1607.595,<262.572
Inf,Inf
-1701.926,=009.649
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
